DPTO,informal,edad,soltero,analfabeta,nivel_educativo,ingreso,vivienda_propia,jefe_hogar,empleado_empresa_particular,empleado_gobierno,empleado_domestico,independiente,empleador,familiar_sin_remuneracion,empresa_sin_remuneracion,jornalero,horas_trabajo,desea_cambiar_trabajo,rural,dinero_ahorrado,tiempo_desempleado,tercera_edad
5,0,41,1,0,5,1300000,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0
5,0,37,1,0,5,1300000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,1,48,1,0,5,640000,0,1,0,0,0,1,0,0,0,0,20,1,0,0,1,0
5,0,38,0,0,10,3300000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,1,41,1,0,3,100000,0,1,0,0,0,1,0,0,0,0,32,1,0,0,36,0
5,1,55,1,0,4,400000,0,1,1,0,0,0,0,0,0,0,20,0,0,0,60,0
5,0,39,1,0,10,2000000,0,1,1,0,0,0,0,0,0,0,40,0,0,1,16,0
5,1,34,0,0,5,250000,1,0,0,0,0,1,0,0,0,0,38,1,0,0,12,0
5,0,63,1,0,5,1300000,1,1,1,0,0,0,0,0,0,0,46,0,0,0,0,1
5,0,25,1,0,5,1300000,1,0,1,0,0,0,0,0,0,0,49,0,0,0,3,0
5,0,37,1,0,10,1750000,0,0,1,0,0,0,0,0,0,0,46,0,0,1,0,0
5,1,18,1,0,10,400000,0,1,0,0,0,1,0,0,0,0,15,0,0,0,12,0
5,1,58,0,0,11,6000000,1,0,1,0,0,0,0,0,0,0,48,0,0,1,0,0
5,0,27,1,0,11,3000000,1,0,0,0,0,1,0,0,0,0,24,0,0,0,2,0
5,0,58,1,0,5,1800000,1,0,0,0,1,0,0,0,0,0,60,0,0,0,0,0
5,0,47,1,0,11,10000000,1,1,0,0,0,0,1,0,0,0,40,0,0,1,72,0
5,0,62,1,0,3,2200000,1,0,0,0,1,0,0,0,0,0,56,0,0,1,0,1
5,1,60,1,0,4,150000,1,0,0,0,0,1,0,0,0,0,15,0,0,0,60,1
5,0,47,0,0,11,11000000,0,1,0,0,0,0,1,0,0,0,70,0,0,1,0,0
5,0,47,0,0,10,10000000,0,0,0,0,0,1,0,0,0,0,40,0,0,1,12,0
5,1,25,1,0,10,4000000,0,1,0,0,0,1,0,0,0,0,24,0,0,0,0,0
5,0,39,1,0,10,1500000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,9,0
5,1,23,1,0,10,2500000,0,1,1,0,0,0,0,0,0,0,48,0,0,0,18,0
5,0,35,0,0,5,1300000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,3,0
5,0,22,1,0,4,1300000,0,0,1,0,0,0,0,0,0,0,47,0,0,1,8,0
5,0,42,1,0,11,3000000,1,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0
5,1,26,1,0,5,500000,0,0,0,0,1,0,0,0,0,0,40,1,0,0,9,0
5,0,48,0,0,8,2023000,1,1,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,44,0,0,10,1500000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,3,0
5,0,36,1,0,6,120000,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
5,0,23,0,0,5,1300000,1,0,0,0,0,1,0,0,0,0,54,0,0,0,0,0
5,1,63,0,0,9,1000000,1,0,1,0,0,0,0,0,0,0,20,0,0,0,24,1
5,0,32,1,0,11,4000000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,0
5,0,26,1,0,10,2200000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,0,27,0,0,10,3200000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,0,36,0,0,10,3000000,0,0,1,0,0,0,0,0,0,0,47,0,0,1,0,0
5,1,59,1,0,5,400000,0,1,0,0,0,1,0,0,0,0,30,0,0,0,72,0
5,0,32,1,0,5,1462000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,0,36,1,0,5,1300000,0,1,1,0,0,0,0,0,0,0,47,1,0,0,0,0
5,1,46,1,0,3,1200000,0,1,0,0,0,1,0,0,0,0,40,0,0,0,3,0
5,1,30,0,0,5,900000,0,0,1,0,0,0,0,0,0,0,50,0,0,0,1,0
5,0,32,1,0,4,3000000,1,0,0,0,1,0,0,0,0,0,48,0,0,0,3,0
5,1,46,1,0,5,300000,1,1,0,0,0,1,0,0,0,0,72,0,0,1,24,0
5,1,52,0,0,3,950000,0,1,0,0,1,0,0,0,0,0,50,1,0,0,12,0
5,1,27,0,0,5,1200000,0,1,1,0,0,0,0,0,0,0,60,1,0,0,2,0
5,1,32,1,0,3,1600000,0,1,0,0,0,1,0,0,0,0,46,0,0,0,4,0
5,0,45,1,0,5,3050000,0,0,0,0,1,0,0,0,0,0,48,0,0,1,6,0
5,1,39,0,0,10,9000000,1,1,0,0,0,0,1,0,0,0,40,0,0,1,14,0
5,0,45,0,0,9,3000000,0,0,1,0,0,0,0,0,0,0,44,0,0,1,0,0
5,1,32,0,0,5,150000,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0
5,0,35,1,0,10,3100000,0,1,1,0,0,0,0,0,0,0,48,0,0,1,12,0
5,0,56,0,0,9,2500000,1,0,1,0,0,0,0,0,0,0,46,0,0,0,12,0
5,1,71,1,0,3,350000,0,1,0,0,0,1,0,0,0,0,25,0,0,0,84,1
5,0,33,1,0,10,3000000,0,0,1,0,0,0,0,0,0,0,50,0,0,1,0,0
5,1,64,1,0,12,4000000,1,0,0,0,0,1,0,0,0,0,20,0,0,1,0,1
5,0,52,0,0,10,10000000,1,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0
5,0,38,0,0,11,2800000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,5,0
5,0,46,1,0,8,1300000,1,0,1,0,0,0,0,0,0,0,47,0,0,0,3,0
5,1,47,0,0,9,100000,1,1,0,0,0,1,0,0,0,0,5,0,0,0,60,0
5,0,29,0,0,5,1300000,0,1,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,48,1,0,8,1248000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,30,0
5,0,38,0,0,8,1300000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,54,0,0,8,2080000,1,0,1,0,0,0,0,0,0,0,46,0,0,1,0,0
5,1,61,0,0,10,3000000,1,1,0,0,0,0,1,0,0,0,40,0,0,1,36,1
5,0,51,1,0,8,2000000,0,1,0,0,0,1,0,0,0,0,24,0,0,0,3,0
5,0,62,0,0,4,1300000,1,0,1,0,0,0,0,0,0,0,46,0,0,0,0,1
5,1,52,1,0,8,3500000,0,1,0,0,0,1,0,0,0,0,40,0,0,1,6,0
5,1,45,0,0,8,300000,1,1,0,0,0,1,0,0,0,0,8,1,0,0,48,0
5,1,20,0,0,3,60000,0,0,0,0,0,1,0,0,0,0,10,0,0,1,3,0
5,1,24,0,0,5,1500000,0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0
5,1,53,0,0,5,1000000,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0
5,0,32,0,0,10,1300000,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0
5,0,28,0,0,11,8000000,0,1,1,0,0,0,0,0,0,0,48,0,0,0,0,0
5,0,55,1,0,8,1300000,1,1,1,0,0,0,0,0,0,0,48,0,0,1,0,0
5,0,29,0,0,8,1800000,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0
5,0,30,1,0,8,1700000,0,0,1,0,0,0,0,0,0,0,50,1,0,0,0,0
5,1,49,0,0,10,3000000,0,0,0,0,0,0,1,0,0,0,48,0,0,1,0,0
5,1,17,0,0,5,1400000,0,1,1,0,0,0,0,0,0,0,50,0,0,0,2,0
5,1,38,0,0,4,400000,0,0,0,0,0,1,0,0,0,0,42,0,0,0,15,0
5,0,30,1,0,10,1300000,1,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,46,1,0,8,1800000,1,1,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,19,1,0,8,1300000,1,0,1,0,0,0,0,0,0,0,46,0,0,0,10,0
5,0,26,1,0,9,2100000,0,1,1,0,0,0,0,0,0,0,46,0,0,0,4,0
5,1,32,0,0,5,640000,0,0,1,0,0,0,0,0,0,0,20,1,0,0,4,0
5,1,30,1,0,5,300000,0,1,0,0,0,1,0,0,0,0,40,0,0,0,0,0
5,0,49,1,0,5,950000,0,1,1,0,0,0,0,0,0,0,40,1,0,0,1,0
5,1,25,1,0,5,1000000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,1,0
5,1,20,1,0,10,1100000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,3,0
5,1,45,0,0,3,400000,0,0,1,0,0,0,0,0,0,0,16,1,0,0,36,0
5,0,27,1,0,5,1248000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,2,0
5,1,36,0,0,5,300000,0,0,0,0,0,1,0,0,0,0,30,1,0,0,0,0
5,0,46,1,0,9,2000000,1,1,1,0,0,0,0,0,0,0,47,0,0,1,12,0
5,0,55,1,0,8,1900000,1,1,1,0,0,0,0,0,0,0,48,0,0,0,0,0
5,1,73,1,0,4,700000,1,0,0,0,0,1,0,0,0,0,40,0,0,0,6,1
5,0,23,1,0,10,1400000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,1,0
5,0,38,0,0,8,1300000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0
5,0,31,0,0,8,1248000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,36,0
5,1,63,1,0,10,1600000,0,1,0,0,0,1,0,0,0,0,40,0,0,0,0,1
5,0,27,0,0,10,4800000,0,0,1,0,0,0,0,0,0,0,48,0,0,1,0,0
5,0,46,1,0,10,4000000,1,0,0,0,0,1,0,0,0,0,40,0,0,1,6,0
5,0,35,0,0,4,1300000,0,1,0,0,1,0,0,0,0,0,48,0,0,0,0,0
5,0,33,1,0,10,3500000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,0,32,1,0,10,4800000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0
5,0,43,1,0,10,9000000,1,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0
5,1,44,1,0,5,912000,0,1,1,0,0,0,0,0,0,0,32,1,0,0,0,0
5,0,49,1,0,8,1300000,0,0,0,0,1,0,0,0,0,0,60,0,0,0,3,0
8,0,50,1,0,3,2300000,1,0,0,0,1,0,0,0,0,0,70,0,0,1,0,0
8,0,45,0,0,11,15000000,1,0,1,0,0,0,0,0,0,0,48,0,0,1,0,0
8,1,45,0,0,10,1800000,1,0,0,0,0,1,0,0,0,0,40,0,0,0,6,0
8,1,45,0,0,10,800000,0,0,0,0,0,1,0,0,0,0,52,1,0,0,0,0
8,1,32,1,0,6,1350000,0,1,0,0,0,1,0,0,0,0,54,0,0,0,0,0
8,1,27,1,0,5,45000,0,0,0,0,0,1,0,0,0,0,8,1,0,0,7,0
8,1,61,1,0,5,1900000,1,0,0,0,1,0,0,0,0,0,50,0,0,0,0,1
8,1,34,1,0,10,200000,0,0,0,0,0,1,0,0,0,0,15,1,0,0,24,0
8,1,58,1,0,10,3500000,0,1,0,1,0,0,0,0,0,0,40,0,0,1,0,0
8,0,27,1,0,10,2600000,0,1,1,0,0,0,0,0,0,0,47,0,0,0,12,0
8,0,26,1,0,9,1300000,0,0,1,0,0,0,0,0,0,0,47,1,0,0,0,0
8,0,38,0,0,11,4200000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0
8,1,64,0,0,5,1650000,0,0,0,0,1,0,0,0,0,0,50,0,0,0,2,1
8,0,50,0,0,10,4235000,0,0,1,0,0,0,0,0,0,0,45,0,0,1,1,0
8,0,40,0,0,11,6000000,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0
8,0,59,1,0,8,2500000,1,1,1,0,0,0,0,0,0,0,40,0,0,0,5,0
8,1,70,1,0,5,1300000,1,1,0,0,0,1,0,0,0,0,44,0,0,1,0,1
8,1,53,1,0,3,2100000,1,0,0,0,1,0,0,0,0,0,48,0,0,0,8,0
8,0,32,0,0,10,2000000,0,0,1,0,0,0,0,0,0,0,48,0,0,1,1,0
8,1,56,0,0,10,1600000,0,1,0,0,0,1,0,0,0,0,12,0,0,0,3,0
8,0,45,0,0,10,4200000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0
8,0,22,1,0,10,1300000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,3,0
8,0,45,0,0,8,1600000,1,0,1,0,0,0,0,0,0,0,48,0,0,1,0,0
8,1,65,1,0,5,500000,1,0,0,0,0,1,0,0,0,0,21,0,0,0,24,1
8,0,36,1,0,11,7900000,1,1,0,0,0,1,0,0,0,0,48,1,0,0,0,0
8,0,28,1,0,10,5000000,0,0,1,0,0,0,0,0,0,0,52,0,0,0,2,0
8,1,62,0,0,4,1200000,0,0,0,0,0,1,0,0,0,0,72,0,0,0,12,1
8,1,34,1,0,4,252000,0,1,0,0,0,1,0,0,0,0,30,1,0,0,5,0
8,1,31,1,0,5,440000,1,0,1,0,0,0,0,0,0,0,30,1,0,0,3,0
8,1,64,1,0,3,50000,1,1,0,0,0,1,0,0,0,0,10,0,0,0,0,1
8,1,28,0,0,5,300000,0,1,1,0,0,0,0,0,0,0,30,1,0,0,0,0
8,1,64,1,0,3,160000,0,1,0,0,0,1,0,0,0,0,36,0,0,0,2,1
8,1,41,0,0,3,1800000,1,1,0,0,0,1,0,0,0,0,32,0,0,0,60,0
8,1,36,1,0,3,800000,1,0,0,0,1,0,0,0,0,0,48,0,0,0,98,0
8,1,45,0,0,5,1100000,0,0,0,0,1,0,0,0,0,0,45,1,0,0,2,0
8,0,39,0,0,8,1300000,1,0,1,0,0,0,0,0,0,0,48,0,0,0,12,0
8,0,38,0,0,5,1465000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,2,0
8,1,35,1,0,5,450000,1,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0
8,1,56,1,0,5,350000,1,1,0,0,1,0,0,0,0,0,40,0,0,0,2,0
8,1,58,0,0,4,350000,1,0,0,0,1,0,0,0,0,0,16,0,0,0,2,0
8,1,25,0,0,9,600000,0,0,0,0,0,1,0,0,0,0,15,0,0,0,5,0
8,0,30,1,0,10,2300000,0,1,0,1,0,0,0,0,0,0,40,0,0,1,3,0
8,1,46,1,0,5,200000,1,1,0,0,0,1,0,0,0,0,20,1,0,0,12,0
8,1,75,0,0,3,80000,1,0,0,0,0,1,0,0,0,0,20,1,0,0,2,1
8,0,42,0,0,8,1460000,0,0,1,0,0,0,0,0,0,0,42,0,0,0,2,0
8,1,58,1,0,3,300000,0,1,0,0,0,1,0,0,0,0,40,1,0,0,12,0
8,1,49,0,0,5,1700000,0,0,0,0,1,0,0,0,0,0,40,0,0,0,7,0
8,1,48,0,0,5,600000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,2,0
8,1,37,1,0,3,800000,1,0,0,0,0,1,0,0,0,0,60,1,0,0,24,0
8,1,27,0,0,8,600000,0,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0
8,0,25,1,0,10,1000000,0,1,0,0,0,1,0,0,0,0,30,1,0,0,3,0
